i,j,weight
0,0,1.0
1,1,1.0
2,2,1.0
3,3,1.0
4,4,1.0
5,5,1.0
6,6,1.0
7,7,1.0
8,8,1.0
9,9,1.0
10,10,1.0
11,11,1.0
12,12,1.0
13,13,1.0
14,14,1.0
15,15,1.0
16,16,1.0
17,17,1.0
18,18,1.0
19,19,1.0
20,20,1.0
21,21,1.0
22,22,1.0
23,23,1.0
24,24,1.0
25,25,1.0
26,26,1.0
27,27,1.0
28,28,1.0
29,29,1.0
30,30,1.0
31,31,1.0
32,32,1.0
33,33,1.0
34,34,1.0
35,35,1.0
36,36,1.0
37,37,1.0
38,38,1.0
39,39,1.0
40,40,1.0
41,41,1.0
42,42,1.0
43,43,1.0
44,44,1.0
45,45,1.0
46,46,1.0
47,47,1.0
0,41,0.9403486847877502
41,0,0.9403486847877502
4,18,0.9790361523628235
18,4,0.9790361523628235
4,31,0.9851951003074646
31,4,0.9851951003074646
5,32,0.9949550628662109
32,5,0.9949550628662109
6,7,0.9032337069511414
7,6,0.9032337069511414
6,12,0.9212526679039001
12,6,0.9212526679039001
6,18,1.0
18,6,1.0
6,29,0.9084768295288086
29,6,0.9084768295288086
6,33,1.0
33,6,1.0
6,42,0.9799638986587524
42,6,0.9799638986587524
7,12,0.9788438081741333
12,7,0.9788438081741333
7,18,1.0
18,7,1.0
7,29,0.9491662979125977
29,7,0.9491662979125977
8,43,0.9779599905014038
43,8,0.9779599905014038
9,44,0.996854305267334
44,9,0.996854305267334
12,18,0.9972081780433655
18,12,0.9972081780433655
12,33,0.9123251438140869
33,12,0.9123251438140869
13,18,0.9846866726875305
18,13,0.9846866726875305
15,16,1.0
16,15,1.0
15,18,1.0
18,15,1.0
16,18,1.0
18,16,1.0
18,22,0.9787912368774414
22,18,0.9787912368774414
18,23,0.9992497563362122
23,18,0.9992497563362122
18,29,0.9873611330986023
29,18,0.9873611330986023
18,31,1.0
31,18,1.0
18,33,1.0
33,18,1.0
18,42,1.0
42,18,1.0
29,33,0.9080101251602173
33,29,0.9080101251602173
33,42,0.9804978370666504
42,33,0.9804978370666504
